text,span,polarity,ordinal,aspect
"does it's job.,now these days smartphone are so expensive and we are very careful about that, but once our charging cable lost or broken, we will think about the right one.",expensive,negative,0,value
"quality is not great cheap plastic but does its purpose.,worth for money..",cheap,negative,0,value
"the display has no spelling errors and while the resolution is low, it is sufficient for the tasks.overall, it's quite expensive but is more kitted out than similar devices.",expensive,negative,0,value
"working fine with airtel dth but the quality is cheap, it's not strong,earlier airtel tv remotes had larger keys which were easy to navigate.",cheap,negative,0,value
"the screen has big bezels, however, the good part is that the screen goes completely back when it is off, so you won t notice the bezels, and the screen quality won t feel cheap at all.",cheap,negative,0,value
"it s a bit expensive but it keeps phone s screen looking new and shiny, and it is much much better than the cheap ones in doing so it s night and day difference.fit and finish is really good too.",expensive,negative,0,value
"not worth the money paid.,it's tiny specially can be look great on tiny wrist, look is also nice but internal feature is some down it must be upgrated.,auto data collection n update not there .",worth,negative,0,value
charge holds for good time over a day s usage kingone is cheaper in agif sale and this one was relatively expensive but at price point compared to apple this is good for casual use.,expensive,negative,0,value
"no use of alexa.i think it's a good buy after 2 months of usage,all over amazfit gts2 mini new version is good but price is high and also calling features not available that is the biggest drawback.",price,negative,0,value
overall it is a good product but it is not worth 300rs.,worth,negative,0,value
real 7.1 will be dam expensive and can't be sure how human ear will respond to that technique....,expensive,negative,0,value
"using 8month also fast working.,350 might be a little expensive but physically it s so good.",expensive,negative,0,value
"using it and satisfactory.,working good also not so expensive,using this for an audio transition from yamaha mgxu20 sound mixer to the laptop for live purpose excellent quality.,bought it before one and a half month....",expensive,negative,0,value
little bit expensive but go with this because of good signal.4.,expensive,negative,0,value
"good compatibility.all features works fine and as expected.bcuz of all this, it's a vfm product to me.,working fine can buy,it is working but expensive.",expensive,negative,0,value
but discarded sony just bcz of expensive and scared if my kid whilst playing will break it.,expensive,negative,0,value
"an excellent fitness tracker but average health monitor., ,plz add calling feature with this,otherwise it is ok,good,it's little expensive but okkk,",expensive,negative,0,value
"but worth buying than a expensive apple pencil ,",worth,negative,0,value
this was a saviour for me as i didn t want to buy expensive stylus and max dont work with iphones.,expensive,negative,0,value
"definitely not worth 1300 in my opinion.,,not adaptive for every person's ear.",worth,negative,0,value
"surely go for it little costly but worth it.,use the tether app, do the installation by yourself enjoy the wifi.",worth,negative,0,value
"good battary life, good sound, good connectivitycons very poor build quality, feel so cheap.",quality,negative,0,value
"saved an electronic device from being obsolete.if you want more performance..maybe get 900mah cell....but for me thats expensive...750mah is enough.long term performance is to be seen.,used for my philips trimmer.",expensive,negative,0,value
"place holder for mobile devices however, i use it to place a pen cons expensive.",expensive,negative,0,value
u cant have the effect of an in ear earphones bass quality in a cheap bt..,quality,negative,0,value
it's not worth buying cartidges so go for refill.3 we only find cl 57s which is small.,worth,negative,0,value
",good quality, and cheap price,great for the price works with my usb mic fantastically well.",cheap,negative,0,value
wrong instructions..a bit too expensive.,expensive,negative,0,value
"you can go for it.,most expensive cable i have ever purchased.",expensive,negative,0,value
"good product n it works fine,it's good one but price more than quality,connecting to sensor for using is slightly a headache......",quality,negative,0,value
expensive here on amazon.,expensive,negative,0,value
