text,span,polarity,polarity_predicted,aspect,ordinal
"perfect hdmi cable for boat soundbar and lg smart tv,this product is overpriced,value for money good quality product,quality product,good ,good quality,good,it's ok to purchase for and as arc port",money,negative,positive,value,0
"but price is too high.,working just as fine as 1.5m cable that my speaker company has provided.",price,negative,,value,0
"i then got the same download speed using this device i was previously getting on my other network interfaces on windows and mac, but now on ubuntu.the device itself is a bit sensitive to the antenna direction when it comes to the impact on download speed.",download speed,neutral,neutral,performance,0
"it's very good peace what i read.,institutions free is very expensive and difficult prasasan but thanks for amazon,my review is after 2 months of buyexcellent mi tv 55inchi like the its built quality.picture quality is osm and working good no issue with display 55 inch is much big and in dark looks like theater experiencesound quality better and much loud, bass is good with 40w speakerworking good with no issue and android with no lag good storage with all ports with dolby vision hdr 10no issue with pachtwallconsi face an issue with chromecast, i think i should be solved on tv updateother all features are amazingmust buy it ....,good,nice clarity good product,good tv for reasonable rate.",theater experiencesound quality,positive,positive,quality,0
"the rs.1100 cable online is 1.5 meters long, which makes it easy to work on phone while it is plugged.....popio cable costs rs.400 at present but they show it 999 , which means price may rise ...",popio cable costs rs.400,neutral,neutral,value,0
the package was damaged and open.,package,negative,,delivery,0
"nice product,ok,poor quality!",quality,negative,negative,quality,0
"long lasting.,longevity and power is the best,badhiya,like",power,positive,positive,battery,0
"i think it's value for money.speed test read speed usb 2.0 80 90 mb s usb 3 85 95 mb s usb type c 85 95 mb s write speed usb 2.0 20 mb s usb 3 21 25 mb s usb type c 20 25 mb spros metal body and not heavy easy use have type c good qualitycons product gets very hot while it's connected because it is a metal body we are not getting the speed that they said.,i like the metal body and build quality but at the same time it is metal so it heats a lot and speed is good it reaches 140 145 mbps write speed when it is cold when it gets hot the speed get low as to 8 mbps and storage not good i purchased 128gb varient and i got only 115gb 15gb less storage.overall decent product.,1 heat alot as it is metalic2 speeds are not consistent somtime it give 20mbps speed and sometimes 5 15 mbps.3 i can say it is value for money for those who want a pendrive with type c connectornote i preferred metal because it is durable,you can also buy it's plastic varients both are same in speeds.also plastic heat less,pendrive is quite good.",value,positive,positive,value,0
"40 290 ,charging does not last for more than 3 days with out use after full recharge,battery does not last even one week even in wall clocks,charger is not good because no idicate light after battery fully charge,get higher wattage.....",recharge,neutral,neutral,battery,0
"but when winding down the cable most of the times gets entangled.,usefull,charges, but doesn't support apple car play,built in quality of plastic roll could have been better,useful, 3 types in one time charging,the device gets tangled easily if you don't reel it in and out with both ends tangential to the housing reel.",charges,positive,positive,battery,0
so far the tv is working fine and the picture quality is also excellent.,picture quality,positive,positive,quality,0
"very good,good quality product and value for money.",quality product,positive,positive,quality,0
"perfect hdmi cable for boat soundbar and lg smart tv,this product is overpriced,value for money good quality product,quality product,good ,good quality,good,it's ok to purchase for and as arc port",quality product,positive,positive,quality,0
"but it doesn't have, so turn off or turn on the light, you will need to plug in or remove it from power bank.",power bank,neutral,neutral,battery,0
"i am willing to live with these perceived shortcomings, so long as the m33 meets my requirements.i was glad to find that samsung has taken an environmentally friendly step of offering many models of handsets without chargers because old chargers, like old handsets, add to e waste.",chargers,positive,positive,battery,0
"i am using this on an old mac mini, since the broadcom proprietary drivers aren't available and the replacement b43 drivers don't allow for sufficient download speeds, at least in my experience.",download speeds,neutral,positive,performance,0
"it's very good peace what i read.,institutions free is very expensive and difficult prasasan but thanks for amazon,my review is after 2 months of buyexcellent mi tv 55inchi like the its built quality.picture quality is osm and working good no issue with display 55 inch is much big and in dark looks like theater experiencesound quality better and much loud, bass is good with 40w speakerworking good with no issue and android with no lag good storage with all ports with dolby vision hdr 10no issue with pachtwallconsi face an issue with chromecast, i think i should be solved on tv updateother all features are amazingmust buy it ....,good,nice clarity good product,good tv for reasonable rate.",lag,positive,positive,performance,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",lag,positive,positive,performance,0
"simply put it is not 20,000 divide by the battery size of your phone will be the expected cycle times.",battery size,neutral,neutral,battery,0
"good item.,good working worth of money ,it is an awesome cable i got it from amazon.",money,positive,positive,value,0
"its got good sound overall its a decent watch and can be used in day to day activities, am quite satisfied with it as my first smart watch ,i've used this product for 4 days, and i'm going to rate the various features and different aspects of this smartwatch which could help the customers here so, bluetooth calling 4 5 the in built mic of this watch is excellent and the voice gets to the other side without any disturbance, watch connects smoothly with the mobile and don't get disconnected automatically until you do it yourself through watch or phone.",sound,positive,positive,sound,0
"don't face lag now.try to use a usb hub if you don't have a usb port away from existing used ports.,build quality and all are good but the batteries cap is little bit loose for the keyboard and mouse is totally fine.",quality,positive,,performance,0
"this raises a question on longevity of the cable.....let's do some calculations.....my original oneplus cable lasted for 2 years, cost of which at present is rs.1100....",cost,neutral,neutral,value,0
"sound quality is also good but low compared to sony or samsung, anyways i have connected to sound bar so that does not matter me anymore.",quality,positive,positive,quality,0
final escalation to the service head worked and by then it was 3 days since the product arrived and was lying still!product wise no complaint.,arrived,neutral,,delivery,0
the angled jack is a plus but the sound quality is so so.,sound,negative,,sound,0
"after using the new handset for a couple of weeks, i find that my phone is at 60 70 charge at the end of the day, and it takes 30 40 minutes for complete charging one of the useful features of m33 is that it shows the time remaining for complete charging as soon as it is plugged in for charging .",charging,positive,neutral,battery,0
"but price is slightly high for this product..,one got damaged immediately,very good product if screen little bit more brighter, over all nice product !,,this product is very good, its quality is also very good and it proved to be very useful for children, purchased a very good product,brightness is good, writing is smooth.easy to use.has lock button at behind to restrict unwanted erase.butwhile writing dots apper near by drawn text and lines automatically without touching there, so may b not suitable for precise calculation and maths like stuff, example u writing 42 and it may appear 4.2 as dot automatically appear between or near by them at certain places.dots problem more near border and corner.same product same package can be seen in much lower price if you google properly.my use was just for rough work soi didn't request for replace or return as seller send from so far via delivery and i feel it may be uneconomical for seller to receive and return via delivery service.",quality,positive,positive,quality,0
"generally, it is worth going for the higher memory and higher ram versions as these parameters affect the performance and the difference in cost is relatively small.",performance,negative,negative,performance,0
"i think it's value for money.speed test read speed usb 2.0 80 90 mb s usb 3 85 95 mb s usb type c 85 95 mb s write speed usb 2.0 20 mb s usb 3 21 25 mb s usb type c 20 25 mb spros metal body and not heavy easy use have type c good qualitycons product gets very hot while it's connected because it is a metal body we are not getting the speed that they said.,i like the metal body and build quality but at the same time it is metal so it heats a lot and speed is good it reaches 140 145 mbps write speed when it is cold when it gets hot the speed get low as to 8 mbps and storage not good i purchased 128gb varient and i got only 115gb 15gb less storage.overall decent product.,1 heat alot as it is metalic2 speeds are not consistent somtime it give 20mbps speed and sometimes 5 15 mbps.3 i can say it is value for money for those who want a pendrive with type c connectornote i preferred metal because it is durable,you can also buy it's plastic varients both are same in speeds.also plastic heat less,pendrive is quite good.",qualitycons product,positive,positive,quality,0
"do charge my phone in a fast way.,the cable is good in quality and charges fast , got it in good deal in the sale .,it's not a fast charger.",charges,positive,positive,battery,0
"its a slow charging cable, but the look, sturdiness etc are impressive.planning to return the product.",slow,negative,,performance,0
hoping that will able to fix it...delivery was late..,delivery,negative,negative,delivery,0
effective only post 40 and best only 90 level hotspot drains battery quickly even a warning notification pops up .,battery,negative,,battery,0
"it puts strain on both the points, the charger side and mobile side, which again makes it vulnerable to cracks...",charger side,negative,negative,battery,0
but overall quality is really good.,quality,positive,positive,quality,0
does not have enough oomph and quickly loses power.,power,negative,negative,battery,0
"i am not able to scroll smoothly with it.,good battery life, no noise.",battery life,positive,positive,battery,0
"it's very good peace what i read.,institutions free is very expensive and difficult prasasan but thanks for amazon,my review is after 2 months of buyexcellent mi tv 55inchi like the its built quality.picture quality is osm and working good no issue with display 55 inch is much big and in dark looks like theater experiencesound quality better and much loud, bass is good with 40w speakerworking good with no issue and android with no lag good storage with all ports with dolby vision hdr 10no issue with pachtwallconsi face an issue with chromecast, i think i should be solved on tv updateother all features are amazingmust buy it ....,good,nice clarity good product,good tv for reasonable rate.",bass,positive,positive,sound,0
entire product including the beating machine nd other pair of dough hooker is absolutely perfect but the important pair of steel beater is really poor in quality..a rusty pair of beater 've been delivered nd that's too very disappointing...,quality,negative,negative,quality,0
"worth of buying.,good product",worth,positive,positive,value,0
"my pc is now 5g price is too high so giving 4 star,got the wi fi in one of the rooms from 0 to 70 .",g price,neutral,neutral,value,0
"and orico products are really sturdy and well finished products.,its worth buying the product, very easy to connect the hdd in the case just slide the cover and insert the disk, plug the cable and you are ready.speed is also very good.,the case is quite good in connectivity and transfer speed but the case body is made up of low quality plastic.it is advisable to go for adata case.,i have been using this for couple of days and i am finally writing a review for this item.",quality,positive,positive,quality,0
lightweight considering 20 k charge but slow charge.,charge,negative,,battery,0
"the watch also has a great battery life, and i can go for days without having to charge it.",battery life,positive,positive,battery,0
"but, the product is cheap chinese plastic crap and definitely not a worth more than rs.",cheap,negative,,quality,0
"but the bill i received nothing is visible on it.,not charge fast..not looks 20w charger..cable are good,well,i purchased it to copy stuff from my phone to usb and vice versa.",20w charger,neutral,neutral,battery,0
"40 290 ,charging does not last for more than 3 days with out use after full recharge,battery does not last even one week even in wall clocks,charger is not good because no idicate light after battery fully charge,get higher wattage.....",battery,negative,negative,battery,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",value,positive,positive,value,0
"40 290 ,charging does not last for more than 3 days with out use after full recharge,battery does not last even one week even in wall clocks,charger is not good because no idicate light after battery fully charge,get higher wattage.....",charger,negative,negative,battery,0
"speed is gud nd easy to handle,very useful,quality is okay for this price.,ok,good product,nice product,is is easy to use and we can use it for everything.it is orerall great ,i bought it in 2019, using it everyday.",price,positive,positive,value,0
price is reasonable.,price,neutral,positive,value,0
"they can improve on sturdiness a bit, but overall good quality product and better price than all other products.",quality product,positive,positive,quality,0
so those who are buying this product should also buy a rechargeable battery and charger.,charger,neutral,positive,battery,0
best value.,value,positive,positive,value,0
"and orico products are really sturdy and well finished products.,its worth buying the product, very easy to connect the hdd in the case just slide the cover and insert the disk, plug the cable and you are ready.speed is also very good.,the case is quite good in connectivity and transfer speed but the case body is made up of low quality plastic.it is advisable to go for adata case.,i have been using this for couple of days and i am finally writing a review for this item.",speed,positive,positive,performance,0
"the device was bug ridden from the beginning and they basically abandoned the device in 6 months, with the last software update in feb 2022, still riddled with bugs and never to see google tv 12.the stick heats up enough to scald you if you touch it and it stutters like crazy after usage of over a day, in part due to the lackluster a35 arm cores which is lacking in performance compared to a53 cores present in sticks from over 7 years ago, and also due to poor ram management.only reason to get it would be for the price, if it is less than 3k, but be prepared to suffer through a laggy interface and the known issues of the remote failing within a few months.",performance,negative,negative,performance,0
"product,the product is simply adjustable and brightness is enough for a study tableease of userecommended for students,i found it matches my requirement and also good by material used..overall good buying decision,enough brightness but there is no control to turn off or dimmable from the led light.",material,positive,positive,quality,0
"but best available in the market.,good product, but too smaller than the regular one!,hello everyone,i bought this mouse in april 2022, so after 8 months of use, i'm writing this review.battery the most important one 10 10 it came with a single aa sized battery clock battery that worked from 1st april 10th december which is more than 8 months.",battery,positive,positive,battery,0
"product quality too its good.,i'm using this cable since 1 years and currently this cable is running perfectly without any problems.if you want to buy best type c cable then without thinking buy it.,does not support display only work to connect network and charging,good and useful",product quality,positive,positive,quality,0
not expecting any kind of tampering but thought to share the product packaging.,packaging,neutral,,delivery,0
"but again, you needn't fear about the mobile loosening and falling off.,for the price it is the best, it's hard but without hardness it cannot withhold a weight of tabletso the the hardness makes sense,not bad it's okaysvery nice product bro value for money but you ask the store in this product how much other ways the quality and material are good,better for streaming videos because if you fit your phone in this and then touch it then it moves due to the weight of phone or use this for any work where you don t have to touch your phone frequently such as video calling or voice calling etc.",quality,positive,positive,quality,0
before this i ordered four different items not this one which were of very low price for one minute but after my order and payment the order get cancelled automatically on the very next day.,delivery,negative,negative,value,0
"the quink ink is clearly worth it with its thick blue color and giving superb contrast on white paper.,best product,good,no,dislikei have a ink pot of pilot andi was thinking to buy the parker one,rate is too high but quantity is too low,the quantity is little.,best quality",quality,positive,positive,quality,0
"perfect hdmi cable for boat soundbar and lg smart tv,this product is overpriced,value for money good quality product,quality product,good ,good quality,good,it's ok to purchase for and as arc port",quality product,positive,positive,quality,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",flagship grade features,positive,positive,performance,0
"but you should also consider cost on long run, not just the immediate cost....",cost,neutral,positive,value,0
"but the wire is strong and durable.,super fast,charging very fast good product ,works for both dash and warp charging.",warp charging,positive,positive,battery,0
"only thing is i wish the top surface had an arrow type bump on the plastic to point where the holes are you so you don't have to look down but you can just tell by touch.,delivery amazon delivery is always reliable and it didn t fail me this time too..packaging both outer packing and the product packaging were intact.",amazon delivery,positive,positive,delivery,0
i gave a 1 star less because product had a small piece broken while delivery maybe.,broken,negative,,durability,0
"really pleased with the design and shape of watch, definitely a must buy for every person .loved the colour, durability and accuracy is super .",durability,positive,positive,durability,0
"i receive 170mbps download and 110mbps upload speed on 5ghz and my broadband plan is 150mbps.i highly recommend this product.,i purchase this product for company use and this is a very good product.",speed,positive,positive,performance,0
the unit i bought does not have any sort of heating issues or fast battery drain issue.,battery,positive,,battery,0
"looks fine waiting for durable report,good,value for money.",value,positive,positive,value,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",beep sound,positive,positive,sound,0
i have just received the product within one day delivery...,day delivery,positive,neutral,delivery,0
"very good quality,good quality usb c charging cable that enables fast charging for samsung m21 as well as m33 5g 24 w seeking phones.",quality,positive,positive,quality,0
"this is best price,great product.",price,positive,positive,value,0
"charging rapidly thankful,2nd purchase review....purchased on 17 july 2019, dash charge stopped working on 15 september 2019...",dash charge,neutral,neutral,battery,0
"the rs.1100 cable online is 1.5 meters long, which makes it easy to work on phone while it is plugged.....popio cable costs rs.400 at present but they show it 999 , which means price may rise ...",popio cable costs rs.400,neutral,neutral,value,0
"perfect hdmi cable for boat soundbar and lg smart tv,this product is overpriced,value for money good quality product,quality product,good ,good quality,good,it's ok to purchase for and as arc port",value,negative,positive,value,0
"no complaint about packaging but one thing to note is that 'no brand name on the packaging.' although when you open the product , the brand name is there on the product.2 build wire length is small to my opinion.",packaging,neutral,,delivery,0
i don't need 5g network because 5g drains battery a lot and 5g spends too much data.,battery,neutral,,battery,0
",the color is also calming,very nice,good product for the price.",price,positive,positive,value,0
"please don't raise prices,nice product, a simpla microusb cable, ,best for this price,good one",prices,positive,positive,value,0
"but again, you needn't fear about the mobile loosening and falling off.,for the price it is the best, it's hard but without hardness it cannot withhold a weight of tabletso the the hardness makes sense,not bad it's okaysvery nice product bro value for money but you ask the store in this product how much other ways the quality and material are good,better for streaming videos because if you fit your phone in this and then touch it then it moves due to the weight of phone or use this for any work where you don t have to touch your phone frequently such as video calling or voice calling etc.",material,positive,positive,quality,0
"works fine and good quality product,last time i bought a cable for 199 and it worked 8 months, this cable looked very fancy and didn't work for one month also.",quality product,positive,positive,quality,0
"it puts strain on both the points, the charger side and mobile side, which again makes it vulnerable to cracks...this raises a question on longevity of the cable.....let's do some calculations.....my original oneplus cable lasted for 2 years, cost of which at present is rs.1100....",cost,neutral,neutral,value,0
it says fast charge but it takes forever to charge.,charge,negative,negative,battery,0
"but when it for the first time, you need to install the driver on your desktop laptop from the tp link website to make it operational, which is not very well explained in the manual.,this product is very good,i have buy this product because my laptop don t support wifi 5ghz band, in 2.5 ghz i receive 30 40mbps speed only but my broadband plan is 150mbps.1.",speed,neutral,neutral,performance,0
"charged my samsung m53 twice once full charged.,i recently purchased the mi power bank 3i 20000mah and have been extremely impressed with its performance.",performance,positive,positive,performance,0
"grand product,good quality, but not the best.best used for backup or archive drives.,i've been using this since 2021 july and it has been quite a helpful one.",quality,positive,positive,quality,0
build quality is good.,quality,positive,positive,quality,0
"speed is gud nd easy to handle,very useful,quality is okay for this price.,ok,good product,nice product,is is easy to use and we can use it for everything.it is orerall great ,i bought it in 2019, using it everyday.",speed,positive,positive,performance,0
"type c is good and the other pin is very hard to insert but workable.,this not a fast charger and can t be used for data transfer.",charger,negative,negative,battery,0
"the nozzle makes it convenient to pour it a cup.for this price in great india sale, i think it s worth.",price,positive,positive,value,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",price,positive,positive,value,0
"recommend for buy,average product light weight and average quality.",quality,neutral,positive,quality,0
"overall, i am very pleased with my purchase and would highly recommend the fire boltt phoenix watch to anyone who is looking for a stylish and functional watch.,this watch is absolutely stunning and great value for money.",value,positive,positive,value,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",chargers,positive,positive,battery,0
"the construction is solid and the power bank has not suffered any damage despite being carried around in my bag on a daily basis.overall, i am extremely satisfied with my purchase of the mi power bank 3i 20000mah and would highly recommend it to others.",mi power bank,positive,positive,battery,0
"its a slow charging cable vooc not support,though they call it as fast charging cable, it actually is not a fast charging cable.i tried it with my samsung fast charging adapter.",slow,negative,,performance,0
"but again, you needn't fear about the mobile loosening and falling off.,for the price it is the best, it's hard but without hardness it cannot withhold a weight of tabletso the the hardness makes sense,not bad it's okaysvery nice product bro value for money but you ask the store in this product how much other ways the quality and material are good,better for streaming videos because if you fit your phone in this and then touch it then it moves due to the weight of phone or use this for any work where you don t have to touch your phone frequently such as video calling or voice calling etc.",price,positive,positive,value,0
"do charge my phone in a fast way.,the cable is good in quality and charges fast , got it in good deal in the sale .,it's not a fast charger.",quality,positive,positive,quality,0
"it's very handy to use and having good battery life,based on initial usage mouse is nice and easy for usage,vg product,just ok,",battery life,positive,positive,battery,0
"but packaging is not good feeling like seller gave is used cable.,good product,good product but cost is more.,original cable,i bought this cable at 129.",cost,negative,,value,0
"do charge my phone in a fast way.,the cable is good in quality and charges fast , got it in good deal in the sale .,it's not a fast charger.",charger,positive,positive,battery,0
"i am using it from 1 month, it works decent.size is bit small, so it does not provide a good ergonomic.as they say clicks are noiseless, that is not true, button press sound is there.overall it's considerable and worth buying it.,like,light weight and work well,good,hands down, logitech is the best in mouses.",button press sound,negative,positive,sound,0
"charged my samsung m53 twice once full charged.,i recently purchased the mi power bank 3i 20000mah and have been extremely impressed with its performance.",mi power bank,positive,positive,battery,0
"so thinking of seller and understanding their convenience i choose to keep and use it.human only can help and support human ,really good quality product.very light weight.pen is super cool .brightness is very high.must buy product",quality,positive,positive,quality,0
similar 2 m cable costs 3x or 4x in retail market.,m cable costs,negative,negative,value,0
"after using the new handset for a couple of weeks, i find that my phone is at 60 70 charge at the end of the day, and it takes 30 40 minutes for complete charging one of the useful features of m33 is that it shows the time remaining for complete charging as soon as it is plugged in for charging .",charge,positive,neutral,battery,0
"only con is you can't silent the incoming call which is annoying sometime, hope they fix it with an update.built quality and looks 4.5 5 metallic built which looks premium and straps are also quite smooth and comforting.",premium,positive,positive,quality,0
"still as sturdy and durable as the new one.,nil,used it for a fortnight till now in my car for mobile charging.",charging,positive,positive,battery,0
"slow charging, charging speed is not fast,not happy with this product bcoz this is a highly priced as compared to its quality and the wire is not actually retracted easily.",quality,negative,negative,quality,0
"generally, it is worth going for the higher memory and higher ram versions as these parameters affect the performance and the difference in cost is relatively small.",cost,negative,negative,value,0
but sound volume clarity not adequate.,sound,negative,,sound,0
so those who are buying this product should also buy a rechargeable battery and charger.,battery,neutral,positive,battery,0
"very good quality,good quality usb c charging cable that enables fast charging for samsung m21 as well as m33 5g 24 w seeking phones.",charging,positive,positive,battery,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",boardhuge performance,positive,positive,performance,0
"though battery closing pane could have been better.usb transmitter 9 10 it's normal and can be carried inside the battery cavity.switch 5 10 on off switch is not handy, you need a long nail to switch it on off but is strong enough to resist a hard stroke when you force it to off with your nailless fingers.precision and laser 10 10 precision is just what most mouses have which is accurate and the laser is invisible no annoying light in the bottom .buttons 7 10 buttons produce a slight noise on click and after a long usage the left button is shaking slightly.overall ratings 9 10the main reason for you to buy this its battery efficiency, it will cost you only 12 inr for 8 months.,its very small and it trouble for my hand which is considerably smaller than other people it do fit nicely in 10 year old nephew but now mine but no complains works great from far distance so its good there its should be sold for 400 only its slighly over priced,nice mouse.easy to holdworking very smooth and fast, response time is very good.,good durable product,its a great mouse under this price for normal office use, it would have been much better if it had silent clicks!!!!!,working well so far.",battery cavity.switch,positive,positive,battery,0
"can't keep connected in power bank as it always turns on light when connected,if the button of adjustable of brightness was present....then the product was marvelous,it is helpful for me in my wfh at late night due to this product light is switch off and everybody will sleep without any distraction and also i can complete my work",power bank,positive,positive,battery,0
"looks fine waiting for durable report,good,value for money.",money,positive,positive,value,0
