text,span,polarity,ordinal,aspect,cue_hits,cue_dist,product_id,n_cues
"you can't charge it with other c type charger.,good enough if you want to get some juice in a short time.",charge,negative,0,battery,can't|n't,1,B08VFF6JQ8,2
because of that battery drains very little and 33w charger charges phone within 30 mins for my usage.,battery,neutral,0,battery,drain|drains,1,B09QS8V5N8,2
lightweight considering 20 k charge but slow charge.,charge,negative,0,battery,but|slow,1,B08JW1GVS7,2
"my airpots are not charging this time..thek are showing full charged but it's not working when i suppose to use.,superb,it's ok nice..but not up to the mark i used from 10 months",charging,negative,0,battery,but|not,1,B08CFCK6CW,2
it didn't charge a bit.4.,charge,negative,0,battery,didn|n't,1,B08FGNPQ9X,2
the cable is efficient in fast charging but in quick data transfer.,charging,positive,0,battery,but,1,B08CF3D7QR,1
very slow charging with 65w.,charging,negative,0,battery,slow,1,B08CF3D7QR,1
not charging as fast as i'd have expected.,charging,negative,0,battery,not,1,B08QSC1XY8,1
when i plugged in the cable it wasn't charging rapidly on my oneplus.,charging,negative,0,battery,n't,1,B07HZ2QCGR,1
"the prod was ordered in apr 22 and now in sept 22 its not charging the phone at all.i have contacted amazon for the same and looking forward for their help.,used it as a back up to charge phone in car.",charging,negative,0,battery,not,1,B0B8SSZ76F,1
"lightning cable is working in normal condition rather than fats charging.but overall the product is awesome and felt 100 value for money.,like",charging,neutral,0,battery,but,1,B0B5F3YZY4,1
every phone with fast charging heats a little.3.,charging,neutral,0,battery,heats,1,B07WDKLDRX,1
"battery drain revisit few of the settings on your device, like animation, transition effect etc to get most out of your battery.",battery,neutral,0,battery,drain,1,B07WDKLDRX,1
"all features are working quite well and connectivity with phone is also good.screen quality may be improved.,actually my smart watch bsw043 ring 3 is not charging 2 to 3 days.",charging,negative,0,battery,not,1,B0B3MWYCHQ,1
"i don't know about the water resistance but except that it is good.,average quality,product quality is good, value for money but packaging was not good, they folded while packing.",packaging,negative,0,delivery,but|n't|not,0,B07Z1X6VFC,3
"but packaging is not good feeling like seller gave is used cable.,good product,good product but cost is more.,original cable,i bought this cable at 129.",packaging,negative,0,delivery,but|not,0,B08DDRGWTJ,2
"but packaging should improve.,i am writing this review after using the product for 1month.",packaging,negative,0,delivery,but,0,B0B298D54H,1
"why company is not giving the refund option?,this is return delivery i got and this is also in fault..",delivery,negative,0,delivery,fault|not|refund|return,1,B08CFCK6CW,4
"no complaint about packaging but one thing to note is that 'no brand name on the packaging.' although when you open the product , the brand name is there on the product.2 build wire length is small to my opinion.",packaging,neutral,0,delivery,but|no|not,1,B09163Q5CD,3
"i would however recommend just getting some l connector cables to avoid this issue altogether.,good useful product,weak packaging, but all the pieces came.",packaging,negative,0,delivery,but|however|issue,2,B0BBW521YC,3
the package was damaged and open.,package,negative,0,delivery,damage|damaged,5,B08VF8V79P,2
"and if you do see any manufacturing defect, then you can always place a replacement request within 7 days of delivery for defectjve or different product.",delivery,neutral,0,delivery,defect,5,B0BD3T6Z1D,1
"liked it..,reducing one star as packaging was not good.mouse is big.if you prefer small and travel friendly mice go for someother design.,the mouse looks good, and it is even easy to hold and use due to to it's design.",packaging,negative,0,delivery,not,5,B083RCTXLL,1
"delivery wise no complaint.,this product am recived 5days...",delivery,negative,0,delivery,no,6,B0B21XL94T,1
i gave a 1 star less because product had a small piece broken while delivery maybe.,delivery,negative,0,delivery,broke|broken,7,B07XCM6T4N,2
but when these arrived they don't fit in my camera.,arrived,negative,0,delivery,but|n't,8,B00E3DVQFS,2
was expecting the item but when the delivery got late i had to understand unfortunately the product is of no good to me.,delivery,negative,0,delivery,but|no,9,B09C635BMM,2
"watch is awesome satisfiedworking properly,good,packaging was very bad,good,good router,good,nies,one of the cheapest wifi 5 gigabit routers.",packaging,negative,0,delivery,bad|cheap,10,B09MKG4ZCM,2
but very high delivery charges even for prime customers.,delivery,negative,0,delivery,but,10,B07VVXJ2P5,1
"this has not come with delivery.,i like all the features but login for ott apps is a problem which we have to open chrome in mobile or laptop for login in tv",delivery,neutral,0,delivery,but|not|problem,11,B0BB3CBFBM,3
"one of the most regretted purchase.,the product is a looking good but not a good sound quality, and then packaging is a very poor i think people open the product when it is packaged.",packaging,negative,0,delivery,but|not|poor,11,B09NR6G588,3
s amazon delivery is really not up to the mark..,delivery,negative,0,delivery,not,11,B0873L7J6X,1
the delivery people were not careful with the unpacking.,delivery,negative,0,delivery,not,13,B09WN3SRC7,1
the packaging was torn and damaged.,packaging,negative,0,delivery,damage|damaged,14,B01EJ5MM5M,2
"also, the packaging was open and not sealed when i recieved it.",packaging,negative,0,delivery,not,14,B09KH58JZR,1
"lg was always good , correct delivery, good service but sound quality was poor.",delivery,negative,0,delivery,but|poor,15,B08DPLCM6T,2
"not happy with the packaging and i hope realises from next order.,felt happy to see dell on its body i think it is genuine.",packaging,negative,0,delivery,not,16,B00ZYLMQH0,1
"but i would like to rate 3 star for the packaging because there was no packaging..it came with a sealed box..,it is worth buying.",packaging,negative,0,delivery,but|no,19,B08D64C9FN,2
"the quality of the ports are also solid, no issue had been faced at all.packaging was great, performance of the product even greater.",packaging,positive,0,delivery,issue|no,23,B0B5F3YZY4,2
"i ask amazon for a replacement thinking they could be defective, when the replacement arrived, the same thing happened.",arrived,negative,0,delivery,defect|defective,23,B00E3DVQFS,2
it seems someone taken while shipping because i got the packet broken.,shipping,negative,0,delivery,broke|broken,26,B08KHM9VBJ,2
overall a quality product at this rate and i recommend to buy anyone who's interested and willing to give a shot at buying this headphones.packaging of the product can be much better.,packaging,negative,0,delivery,hot,26,B078W65FJ7,1
"i liked everything like product quality, packaging was so premiumone thing i didn't liked is you can get fingerprint easily,standard cover for the price.",packaging,positive,0,delivery,didn|n't,27,B08CTQP51L,2
"but as of now product seems to be good,very good quality with good speed,not good,everything great from packaging to cable quality",packaging,positive,0,delivery,but|not,28,B01DGVKBC6,2
"just felt it is not sturdy enough.,the product packaging was good and clean.",packaging,positive,0,delivery,not,28,B086394NY5,1
not expecting any kind of tampering but thought to share the product packaging.,packaging,neutral,0,delivery,but|not,29,B09YV4MW2T,2
final escalation to the service head worked and by then it was 3 days since the product arrived and was lying still!product wise no complaint.,arrived,neutral,0,delivery,no,34,B0B21XL94T,1
the packaging would be suspicious you would think a cheap unreliable product.,packaging,negative,0,delivery,cheap,39,B0971DWFDT,1
"though is a little expensive if you do more than the occasional print.delivery was 3 days earlier than the delivery date shown on amazon, so that was great.",delivery,positive,0,delivery,expensive,42,B09F5Z694W,1
"wd only names enjoyed product,good,speed is as it shows on package.good one.should be baught,product was good, but delivery people behaviour was in rude and reckless manner.",package,negative,0,delivery,but,45,B09TMZ1MF8,1
"so i think this chota power is not providing sufficient power.,for my daughter's notepad, the perfect cell which i received with fast delivery at home.what else one can expect from amazon!!",delivery,positive,0,delivery,not,50,B08Y5QJTVK,1
"if bass is not what you are after, you are unlikely to find a better package even at a much higher price point, especially if you care for even sound.",package,negative,0,delivery,not,55,B07NC12T2R,1
i have been using it for the past 2 months and haven't faced any issue.another problem with this montioe is the rubber that is used for rotating the montioe is cheap and gets broken initially only.,broken,negative,0,durability,broke|broken|cheap|issue|n't|not|problem,0,B083GQGT3Z,7
"i used this product for about 4 months and really had no issues with it, until i noticed that my internet stopped working.",stopped working,negative,0,durability,issue|issues|no|not|stopped|stopped working,0,B08HLZ28QC,6
"hence not using the set for gaming.,product is very good but i have issues with the packing.the outer plastic bag was fine but the amazon packing box brown was broken.the product box and the product was fine.",broken,negative,0,durability,broke|broken|but|issue|issues|not,0,B01N4EV2TL,6
"don't waste money buying expensive ones, go for this.,functionally very good, and it is a good replacement for the original remote, on which the power switch had stopped working.",stopped working,negative,0,durability,expensive|n't|stopped|stopped working|waste,0,B09MM6P76N,5
the return window closed two days ago and i can't return this broken garbage.,broken,negative,0,durability,broke|broken|can't|n't|return,0,B08Y7MXFMK,5
"value for money,the remote is compatible with our tata sky box and does the job,it didn't last for more than 15 days and has stopped working.",stopped working,negative,0,durability,didn|n't|stopped|stopped working,0,B08RHPDNVV,4
"it says 60w capable, don't know how to measure it but works good with my 25wats brick.,the charging cable stopped working within 2 weeks.",stopped working,negative,0,durability,but|n't|stopped|stopped working,0,B09BW2GP18,4
"it stopped working after a month of use.,value for money,but not get feel of original remote control with tv what we get .",stopped working,negative,0,durability,but|not|stopped|stopped working,0,B08TZD7FQN,4
"does it's job.,now these days smartphone are so expensive and we are very careful about that, but once our charging cable lost or broken, we will think about the right one.",broken,negative,0,durability,broke|broken|but|expensive,0,B08H5L8V1L,4
"but after falling down it gets broken.,good for basic use not for gaming.,i like this product.",broken,negative,0,durability,broke|broken|but|not,0,B08YDFX7Y1,4
it stopped working completely and the mouse cursor doesn't even move.,stopped working,negative,0,durability,doesn|n't|stopped|stopped working,0,B08Y7MXFMK,4
but it stopped working within 6 months of usage.,stopped working,negative,0,durability,but|stopped|stopped working,0,B0B8SSZ76F,3
"apple car play has stopped working intermittently when using this cable,good product but phn was getting heat while its chrgeing,this cable is working great.",stopped working,negative,0,durability,but|stopped|stopped working,0,B0B8SSZ76F,3
"it stopped working after few months of usage,everything is good but the battery don t last that long when use for charging two device.",stopped working,negative,0,durability,but|stopped|stopped working,0,B07RD611Z8,3
"every time i mount or unmount my device, i have to take care a lot so that it might not get broken.",broken,negative,0,durability,broke|broken|not,0,B092JHPL72,3
"but s20 fe 5g has just gg3 which also i'm not sure as it is not mentioned officially anywhere .but at the end of the day , glass is glass it will broke.4.",broke,neutral,0,durability,broke|but|not,0,B08VB57558,3
"however the backup battery stopped working later and the customer support team were quick to respond and swiftly sent me the replacement product.,product was delivered very promptly and packaging was good.",stopped working,neutral,0,durability,however|stopped|stopped working,0,B08HLZ28QC,3
"now i use this as my main work station all day.,the table is fantastic but i got a dameged or broken one.",broken,negative,0,durability,broke|broken|but,0,B08YD264ZS,3
i had to use an old mouse in the mean time.i used to trust offbeat products but i am greatly disappointed as this mouse broke just after two weeks.,broke,negative,0,durability,broke|but|disappoint,0,B08Y7MXFMK,3
"this wire was great purchase made to correct it,worked well for six months that s it, now it s stopped working, now planning to buy one more because the price has come down to 150,very good product.",stopped working,negative,0,durability,stopped|stopped working,0,B09KLVMZ3B,2
"cause it's stopped working.,the cable is physically resilient and looks good too.",stopped working,negative,0,durability,stopped|stopped working,0,B09QGZFBPM,2
the cable stopped working in 7 months contacted customer support and they ensured a replacement soon.,stopped working,negative,0,durability,stopped|stopped working,0,B09QGZFBPM,2
"i bought the original cable for 1k, and it stopped working after few months.this one is a fraction of cost, and is working well!,good product for 1 6 device.",stopped working,negative,0,durability,stopped|stopped working,0,B0981XSZJ7,2
"also, the built quality is good.,the remote is working fine for now but durability not sure as not as the original but does the job.,it is good for samsung smart tv,nice one",durability,negative,0,durability,but|not,0,B081NHWT6Z,2
most of the keys stopped working within a month.,stopped working,negative,0,durability,stopped|stopped working,0,B09127FZCK,2
"this cable delivers the quality i expected and works like a charm.,stopped working ..",stopped working,negative,0,durability,stopped|stopped working,0,B07DWFX9YS,2
i received the adapter in open and broken box.,package,negative,0,durability,broke|broken,0,B08VFF6JQ8,2
"decent buy,very good product,value for money,this cable i bought in july'22 end and in december mid 22 it stopped working.",stopped working,negative,0,durability,stopped|stopped working,0,B084DTMYWK,2
i gave a 1 star less because product had a small piece broken while delivery maybe.,broken,negative,0,durability,broke|broken,0,B07XCM6T4N,2
"now lets see if they actually do as promised.original review after 6 months it stopped working, so raised a request for it.",stopped working,negative,0,durability,stopped|stopped working,0,B09NR6G588,2
i have used 12v2a product for 9 months and it stopped working after that.,stopped working,negative,0,durability,stopped|stopped working,0,B017NC2IPM,2
it seems someone taken while shipping because i got the packet broken.,package,negative,0,durability,broke|broken,0,B08KHM9VBJ,2
stopped working after a month of use.,stopped working,negative,0,durability,stopped|stopped working,0,B08FY4FG5X,2
it's the first time in my life that a router has broken and that too after just over a year's usage.,broken,negative,0,durability,broke|broken,0,B07W9KYT62,2
"packaging was also good.,it's really of good quality, i have read problems like the apple pencil doesn't work after applying this protector but i honestly didn't feel any lag.",lag,negative,0,performance,but|didn|doesn|lag|n't|problem|problems,0,B07TMCXRFV,7
"so, i think those games will work here without lag as well.tip just because, some people got defective piece doesn't mean you will too.",lag,negative,0,performance,defect|defective|doesn|lag|n't,0,B0BD3T6Z1D,5
no data loss problem or data corrupt problems i have faced yet.downs......the only downside is this pendrive is little slow because of technology 2.0 3.2 is newer one and second one is not affact your data at all..,slow,negative,0,performance,no|not|problem|problems|slow,0,B01L8ZNWN2,5
"don't face lag now.try to use a usb hub if you don't have a usb port away from existing used ports.,build quality and all are good but the batteries cap is little bit loose for the keyboard and mouse is totally fine.",quality,positive,0,performance,but|lag|loose|n't,0,B012MQS060,4
no issues of lag or disconnection or audio drop on super quiet moments of the song.bass?very decent and controlled.vocals?very cleartreble?sharp and crisp.loudness?you can listen at full volume without much discomfort.,lag,positive,0,performance,issue|issues|lag|no,0,B09YLFHFDW,4
"its a slow charging cable, but the look, sturdiness etc are impressive.planning to return the product.",slow,negative,0,performance,but|return|slow,0,B09KH58JZR,3
but i charge it regularly and battery charge never drops below 70 .the phone has sd680 processor which is more that enough for basic tasks and performs well without any lag.,lag,negative,0,performance,but|lag|never,0,B09QS8V5N8,3
"little bit lag in touch screen., productsbut hand wash screen off problemre start problem,automatic restart problem,for the first time, i purchased a smartwatch.",lag,negative,0,performance,but|lag|problem,0,B0BGSV43WY,3
"the silver paint on pendrive is vanishing time by time and it is now turning black,product is good but slow,storage is good but doesn t work for car stereo,57 gb out of 64,so far so good,good product,ok",slow,negative,0,performance,but|doesn|slow,0,B01L8ZNWN2,3
i played bgmi and cod and didn't feel any lag in the sound.5.,lag,negative,0,performance,didn|lag|n't,0,B09PL79D2X,3
"plus it gets charged slow.,all features of the watch is good but battery backup is very poor.",slow,negative,0,performance,but|poor|slow,0,B09DG9VNWB,3
"also color print not working or not recognized.,does the job, but it's damn slow.",slow,negative,0,performance,but|not|slow,0,B08D9NDZ1Y,3
"however it charges quite slow compared to original chargers, even when one mobile is charged at one time.,when using a regular cable, it takes about 2 hrs for a full charge.",slow,negative,0,performance,however|slow,0,B07XJYYH7L,2
"product is good , and also it's strudiness .but no fast charging in this cable , it's normally charging .",fast,negative,0,performance,but|no,0,B09CMP1SC8,2
"tv looks fine, however i see some lag while selecting the applications such as amazon prime etc.",lag,negative,0,performance,however|lag,0,B09T3KB6JZ,2
"its a slow charging cable vooc not support,though they call it as fast charging cable, it actually is not a fast charging cable.i tried it with my samsung fast charging adapter.",slow,negative,0,performance,not|slow,0,B09KH58JZR,2
there are noticeable lag while casting screen share.,lag,negative,0,performance,lag|not,0,B0B16KD737,2
"in this price you can get the best product,processor very slow plg improve,smart work is slow but picture sound ok",slow,negative,0,performance,but|slow,0,B0B16KD737,2
the response is little slow but that's still fine.,slow,negative,0,performance,but|slow,0,B09MM6P76N,2
the sound quality is not the best and i have noticed some lag when switching between apps.,lag,negative,0,performance,lag|not,0,B08CS3BT4L,2
"i will recommend this tv if you want to buy this 32 inch s series tv.,writing review after 1.5 month use overall good but it become little slow when we install apps rest everything is fine.",slow,negative,0,performance,but|slow,0,B0B9959XF3,2
"plug and play.link for driver is good but internet connection is slow,easy to use.",slow,negative,0,performance,but|slow,0,B09LHXNZLR,2
there is no lag while watching forwarding 4k 8k videos.2.,lag,negative,0,performance,lag|no,0,B095JQVC7N,2
"no more changing of cables every year or soo.,as i need for apple carplay support this is perfect with no lag.",lag,positive,0,performance,lag|no,0,B09JSW16QD,2
wifi connection is little slow but it works mostly fine if router is nearby.,slow,negative,0,performance,but|slow,0,B09WN3SRC7,2
"overall, happy that i bought this tv.,at this price picture quality is good but connectivity is slow and remote function also,good one happy with the purchase,,kodak tv,ok,nice tv,smart and good work",slow,negative,0,performance,but|slow,0,B08XXF5V6G,2
"best but slow response from tv,product is good, for money,super quality....go with tcl,,best price,",slow,negative,0,performance,but|slow,0,B08FD2VSD9,2
phone lag in two days of testing it has not lagged at all.,lag,negative,0,performance,lag|not,0,B07WDKLDRX,2
bgmi i played few rounds yesterday and did not face any frame drop or lag.10.,lag,negative,0,performance,lag|not,0,B07WDKLDRX,2
"video call lag did not face any, did multiple video calls yesterday with different people, did not get any complaint from them about my video lag.",lag,negative,0,performance,lag|not,0,B07WDKLDRX,2
sometimes i feel lag in touch though it is for microseconds but it is there.,lag,negative,0,performance,but|lag,0,B09WRMNJ9G,2
"however, the watch may lag a bit.",lag,negative,0,performance,however|lag,0,B096VF5YYF,2
no lags at all though there is provision for a 3 sec lag which can be turned on.9.,lag,negative,1,performance,lag|no,0,B096VF5YYF,2
you will not get features like slow motion etc etc.,slow,negative,0,performance,not|slow,0,B0BBFJ9M3X,2
lightweight considering 20 k charge but slow charge.,slow,negative,0,performance,but|slow,0,B08JW1GVS7,2
"the product charges iphone about 50 in an hour, but rest charging is very slow.",slow,negative,0,performance,but|slow,0,B098QXR9X2,2
"even with beast mode turned on, i felt no difference as the the lag still persisted.5.",lag,negative,0,performance,lag|no,0,B08JQN8DGZ,2
"ordered it for my home office and have been using this for almost 10 months, it looks good and there is no lag in typing and the keys are comfortable while typing.,nic product and smooth keyboard!",lag,negative,0,performance,lag|no,0,B00ZYLMQH0,2
i have been using it for the past 2 months and haven't faced any issue.another problem with this montioe is the rubber that is used for rotating the montioe is cheap and gets broken initially only.,cheap,negative,0,quality,broke|broken|cheap|issue|n't|not|problem,0,B083GQGT3Z,7
"the mouse doesn't feel cheap overall, but it is definitely plasticky, though not in the bad sense.",cheap,negative,0,quality,bad|but|cheap|doesn|n't|not,0,B01J0XWYKQ,6
"the cable is lengthy no quality loss till yet.ps i will update if there is any issues,,looks like cheap, but works fine",quality,negative,0,quality,but|cheap|issue|issues|no,0,B08PPHFXG3,5
"but the main job can be done without any problem and i'm getting upto 100 mbps speed.,,the product is good for the use,not cheap but its ok price.",cheap,negative,0,quality,but|cheap|not|problem,0,B09F3PDDRF,4
"when held, it doesnt give off that cheap and flimsy product like feeling.",cheap,negative,0,quality,cheap|doesn|flimsy,0,B008IFXQFU,3
"charging time is good with availability of different cable types.,considering the price compared to competitors at market, this is cheap, but no compromises have been made with respect to sturdiness or quality.",cheap,negative,0,quality,but|cheap|no,0,B0B5F3YZY4,3
"it s a bit expensive but it keeps phone s screen looking new and shiny, and it is much much better than the cheap ones in doing so it s night and day difference.fit and finish is really good too.",cheap,negative,0,quality,but|cheap|expensive,0,B0B244R4KB,3
"scroll wheel doesn't feel cheap at all, though i believe it could've been better quality.",quality,negative,0,quality,cheap|doesn|n't,0,B01J0XWYKQ,3
"suits my hand the best, tried some gaming mouse at 500 800 range but the feel is not good and my wrist starts to hurt on those cheap mice.",cheap,negative,0,quality,but|cheap|not,0,B01HJI0FS2,3
"amazon better not sell such cheap crap and loose trust.,good,working fine read write speed is good",cheap,negative,0,quality,cheap|loose|not,0,B08GYG6T12,3
"very good,why go for cheap chinese ones.,good cells,some of cell is not at 100 but they are at 90 or 80 price is low but stock is old.",cheap,negative,0,quality,but|cheap|not,0,B08Y5QJTVK,3
"but still price is very good compare to other products.,good,it worked really well for 3 4 months but now it started showing its cheap chinese side.",cheap,negative,0,quality,but|cheap,0,B085194JFL,2
"be careful while plugging and unplugging, or you may damage your device.very cheap and usable cable for 120 rs,super power,nice product.,in this price this is the best one",cheap,negative,0,quality,cheap|damage,0,B08R69VDHT,2
"i haven't had to use most of the other functions.,good performance,cheap and best alternative for your lg remote.",cheap,negative,0,quality,cheap|n't,0,B09MM6P76N,2
"sometimes it doesnt even connect to the phone.dont buy it, dont buy any other cheap cables.",cheap,negative,0,quality,cheap|doesn,0,B0B65MJ45G,2
you will not find a decent 16 gauge copper speaker cable for less than rs 2000.this is a cheap 16 gauge speaker and it does the job very well.,cheap,negative,0,quality,cheap|not,0,B006LW0WDQ,2
"but, the product is cheap chinese plastic crap and definitely not a worth more than rs.",cheap,negative,0,quality,cheap|not,0,B097JVLW3L,2
"looks cheap, but did it s job okay.",cheap,negative,0,quality,but|cheap,0,B07GXHC691,2
i don't think plastic back makes your phone or you look cheap.,cheap,negative,0,quality,cheap|n't,0,B09QS8V5N8,2
"you may go for cheap tempered glasses but the touch feels different and smooth with popio glasses,i am using this for 3 weeks now.",cheap,negative,0,quality,but|cheap,0,B08M66K48D,2
"it is definitely not cheap looks wise.there is an on, off switch on the bottom which is helpful in saving the battery which is included when the mouse is not in use.",cheap,negative,0,quality,cheap|not,0,B01J0XWYKQ,2
"keep your hands soft while typing.,although it is quite cheap and works nicely for me, i think this is not for those who look for soft touch keyboard.",cheap,negative,0,quality,cheap|not,0,B07KR5P3YD,2
"even a small movement can cause the second device to get unplugged from the usb port, which is not at all strong.,its cheap on multiple levels, first ad foremost money wise and then most importantly quality wise.",cheap,negative,0,quality,cheap|not,0,B097JQ1J5G,2
"the product appears cheap, but holds well.",cheap,negative,0,quality,but|cheap,0,B09GFWJDY1,2
i was expecting it to feel wonky and cheap but it actually feels decent.,cheap,negative,0,quality,but|cheap,0,B00CEQEGPI,2
but the button enclosure feels like cheap plastic and will break easily.,cheap,negative,0,quality,but|cheap,0,B09SGGRKV8,2
"you must be buy.,it's not sturdy on the bedmaterial is cheap.",cheap,negative,0,quality,cheap|not,0,B09Z7YGV3R,2
"you get free pen , cheap through but it works.",cheap,negative,0,quality,but|cheap,0,B07Z53L5QL,2
she does not sound chinese like the cheap chinese headphones.,cheap,negative,0,quality,cheap|not,0,B09YLFHFDW,2
well i had a notion that cheap bt headphones could not produce good sound..,cheap,negative,0,quality,cheap|not,0,B0873L7J6X,2
of course those cheap speakers would be louder and more shrill but it is about quality vs quantity.coming to the cons 1.,cheap,negative,0,quality,but|cheap,0,B09XXZXQC1,2
the technician brought a cheap hanging hook that had mrp inr116 on it and asked for inr499 for it without any receipt.,cheap,negative,0,quality,cheap,0,B0B1YVCJ2Y,1
"simply superb, goverment shouldnt hinder amazon products , amazon products rather gives competition to local qualityless products which consumers are forced to buy beacause they have no quality competition.",quality,negative,1,quality,no,0,B07232M876,1
"if you want to avoid the cable this is a best product.,eco dot 3rd,product does its work but quality can be improved.",quality,negative,0,quality,but,0,B08L4SBJRY,1
"nice product,okay product at cheap price.",cheap,negative,0,quality,cheap,0,B07VVXJ2P5,1
"in the end, it's a cheap chinese product sold in india at rs.",cheap,negative,0,quality,cheap,0,B097JVLW3L,1
the packaging would be suspicious you would think a cheap unreliable product.,cheap,negative,0,quality,cheap,0,B0971DWFDT,1
"liked it,sound is good but quality normal,good product impressive,sound nd bass is good nd value for money",quality,negative,0,quality,but,0,B0B31BYXQQ,1
"no reimbursment, no quality suppport, no resposnse to emails apart from the standard script.",quality,negative,0,quality,no,0,B09NR6G588,1
i was quite fed up of using cheap wired headsets as they used to go out of function or get snapped every now and then.,cheap,negative,0,quality,cheap,0,B07LG59NPV,1
"no volume control or on off button, comfortable to wear but not designed for comfort, clear sound, and a mic but no advanced features for either.",volume,negative,0,sound,but|no|not,0,B009LJ2BXA,3
why on god's green earth there is no audio jack?!?!!!!what is the use of hdmi port if user can't get video and audio both??2.,audio,negative,0,sound,can't|n't|no,0,B08J82K4GX,3
"lg was always good , correct delivery, good service but sound quality was poor.",sound,negative,0,sound,but|poor,0,B08DPLCM6T,2
"vu uhd smart 43 web os version good tv 2022 , picture quality and opareting nice , but sound quality i am not satisfied not afctvive to other t vs,hdr can t be turned off in apps,got it at 19k in the sale.",sound,negative,0,sound,but|not,0,B0BB3CBFBM,2
but sound volume clarity not adequate.,sound,negative,0,sound,but|not,0,B0978V2CP6,2
"i had some extra cushions so i added those over the ear piece.,build quality is not that good but sound quality,noise cancellation is best in the range of less than 1000.,after covid 19 our life changes a lot.",sound,negative,0,sound,but|not,0,B00Y4ORQ46,2
"jbl could have address this.,i have used it for listening songs and i can say it is good earphones for that price,average, expected too much but sound quality is good but bass is not that great.",sound,negative,0,sound,but|not,0,B07DFYJRQV,2
